Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00-05:00,3244.669921875,3258.139892578125,3214.639892578125,3237.179931640625,14083000000,0.0,0.0
2020-01-08 00:00:00-05:00,3238.590087890625,3294.25,3236.669921875,3283.14990234375,17729660000,0.0,0.0
2020-01-15 00:00:00-05:00,3282.27001953125,3329.8798828125,3280.68994140625,3320.7900390625,15093130000,0.0,0.0
2020-01-22 00:00:00-05:00,3330.02001953125,3337.77001953125,3234.5,3276.239990234375,18461890000,0.0,0.0
2020-01-29 00:00:00-05:00,3289.4599609375,3306.919921875,3214.679931640625,3297.590087890625,19677660000,0.0,0.0
2020-02-05 00:00:00-05:00,3324.909912109375,3375.6298828125,3313.75,3357.75,18968320000,0.0,0.0
2020-02-12 00:00:00-05:00,3370.5,3385.090087890625,3355.610107421875,3370.2900390625,14601900000,0.0,0.0
2020-02-19 00:00:00-05:00,3380.389892578125,3393.52001953125,3118.77001953125,3128.2099609375,21990080000,0.0,0.0
2020-02-26 00:00:00-05:00,3139.89990234375,3182.510009765625,2855.840087890625,3003.3701171875,33876770000,0.0,0.0
2020-03-04 00:00:00-05:00,3045.75,3130.969970703125,2734.0,2882.22998046875,33290880000,0.0,0.0
2020-03-11 00:00:00-04:00,2825.60009765625,2825.60009765625,2367.0400390625,2529.18994140625,40756780000,0.0,0.0
2020-03-18 00:00:00-04:00,2436.5,2466.969970703125,2191.860107421875,2447.330078125,40783880000,0.0,0.0
2020-03-25 00:00:00-04:00,2457.77001953125,2641.389892578125,2407.530029296875,2584.590087890625,34596000000,0.0,0.0
2020-04-01 00:00:00-04:00,2498.080078125,2756.889892578125,2447.489990234375,2659.409912109375,31979410000,0.0,0.0
2020-04-08 00:00:00-04:00,2685.0,2851.85009765625,2663.300048828125,2846.06005859375,24710520000,0.0,0.0
2020-04-15 00:00:00-04:00,2795.639892578125,2879.219970703125,2727.10009765625,2736.56005859375,26591260000,0.0,0.0
2020-04-22 00:00:00-04:00,2787.889892578125,2921.14990234375,2775.949951171875,2863.389892578125,27136350000,0.0,0.0
2020-04-29 00:00:00-04:00,2918.4599609375,2954.860107421875,2797.85009765625,2868.43994140625,27826650000,0.0,0.0
2020-05-06 00:00:00-04:00,2883.139892578125,2945.820068359375,2847.64990234375,2870.1201171875,24886750000,0.0,0.0
