ATR_14,ATR_20,ATR_30,RSI,SMA_20,SMA_50,SMA_200,MACD,MACD_Signal,Stoch_K,Stoch_D,ADX,Williams_R,CCI,MFI,VWAP,Label
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1457.1933186848958,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1417.356689453125,2
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1397.6866861979167,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1402.4833170572917,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1427.8899739583333,1
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1454.4766438802083,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1443.8800455729167,2
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1433.9766438802083,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1445.3766682942708,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1462.6100260416667,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1457.1966959635417,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1455.3233642578125,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1449.9399820963542,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-36.52316015288001,21.60585513316151,39.17927855381301,1444.7133382161458,0
27.058831429595408,29.9202584943579,26.51816196730829,34.57748346414933,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-74.97902955839773,-74.1647503327368,36.33304976381705,1417.0133463541667,2
26.92163096570142,29.9202584943579,26.51816196730829,38.43182449128753,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,40.81203895010848,31.031019191501017,27.128039431655147,-66.06169343839684,-112.43143424435513,36.203898120442226,1404.260009765625,0
25.445525155551053,29.9202584943579,26.51816196730829,36.800165107382746,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,25.806199967924176,31.031019191501017,27.128039431655147,-81.54067709943291,-113.42862706389612,43.288613589062756,1405.6599934895833,0
27.681668368792806,29.9202584943579,26.51816196730829,35.297726691958694,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,26.474818656470394,31.031019191501017,27.128039431655147,-72.97317349275907,-143.1232787632857,36.217578997850346,1396.1366780598958,0
29.10511620169144,29.9202584943579,26.51816196730829,27.04158126385179,1425.5855041503905,1402.2489990234376,1444.7832482910155,-5.38527377880564,-8.341395938770903,16.292210005885888,22.857742876760152,27.128039431655147,-96.60951939015035,-171.39330802428455,28.56473660479364,1371.6400146484375,2
